	I	pval_norm	var_norm	pval_z_sim	pval_sim	var_sim	pval_norm_fdr_bh	pval_z_sim_fdr_bh	pval_sim_fdr_bh
IL22RA1	0.033787347409532494	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9035180582315137e-07	0.0	0.0	0.010445117787640833
CD59	0.03374885017156172	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9393198598680187e-07	0.0	0.0	0.010445117787640833
CLDN4	0.03361881112045842	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2365734238989443e-07	0.0	0.0	0.010445117787640833
RARRES2	0.03346781364056033	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.024748086323524e-07	0.0	0.0	0.010445117787640833
EGF	0.03327439675645288	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8823589328396983e-07	0.0	0.0	0.010445117787640833
SOX4	0.03324565213368305	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7155278161655579e-07	0.0	0.0	0.010445117787640833
CD81	0.0330737189599912	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5263296085103248e-07	0.0	0.0	0.010445117787640833
DDR1	0.03266751437841892	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7704401602198994e-07	0.0	0.0	0.010445117787640833
EPCAM	0.03258933809273765	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.811252598579308e-07	0.0	0.0	0.010445117787640833
JUN	0.0324649453899415	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6551472926218463e-07	0.0	0.0	0.010445117787640833
COL6A3	0.032307765446446535	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.865013607728357e-07	0.0	0.0	0.010445117787640833
MMP2	0.03160271702383166	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1548906402145685e-07	0.0	0.0	0.010445117787640833
BGN	0.03146495161234477	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6527036542072285e-07	0.0	0.0	0.010445117787640833
LGALS9	0.031423340943325884	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5878141059686232e-07	0.0	0.0	0.010445117787640833
EZR	0.03121122491148295	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6201306110100232e-07	0.0	0.0	0.010445117787640833
GPNMB	0.03065460709190552	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7217273568454834e-07	0.0	0.0	0.010445117787640833
FGFR2	0.030431009722396696	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1737805315463816e-07	0.0	0.0	0.010445117787640833
CIITA	0.030325669191707448	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.642612989054935e-07	0.0	0.0	0.010445117787640833
GDF15	0.03029041966512334	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9890735490099293e-07	0.0	0.0	0.010445117787640833
CALD1	0.03028187881867113	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.737971791106874e-07	0.0	0.0	0.010445117787640833
TPSB2	0.03025103501167471	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9409197851950938e-07	0.0	0.0	0.010445117787640833
IL12RB1	0.029895867613173966	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9885642173956348e-07	0.0	0.0	0.010445117787640833
CCL21	0.02937189992757387	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5781228457535717e-07	0.0	0.0	0.010445117787640833
VEGFA	0.029094515909530907	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5142172945839982e-07	0.0	0.0	0.010445117787640833
ITGB1	0.029054021996503965	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8199370220247583e-07	0.0	0.0	0.010445117787640833
LTBR	0.028882516758378437	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.836548759092387e-07	0.0	0.0	0.010445117787640833
RPL32	0.028713702358349927	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8114222927799918e-07	0.0	0.0	0.010445117787640833
SELENOP	0.0282512466748051	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2720047695160613e-07	0.0	0.0	0.010445117787640833
FGR	0.027838651645120744	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5894496922646479e-07	0.0	0.0	0.010445117787640833
BAG3	0.02777111194972196	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8444598170370253e-07	0.0	0.0	0.010445117787640833
WIF1	0.02746767945023677	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.553001842257716e-07	0.0	0.0	0.010445117787640833
